,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
114,316013007,2017-01-03T01:52:34,44.23261,-76.47703,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
116,316013007,2017-01-03T02:27:16,44.215340000000005,-76.42605999999999,-0.1,-49.6,117.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
117,316013007,2017-01-03T02:27:16,44.19249000000002,-76.45873,-0.1,-49.6,207.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
118,316013007,2017-01-03T02:42:38,44.220659999999995,-76.4651,-0.1,-49.6,102.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
119,316013007,2017-01-03T02:42:38,44.23153000000002,-76.45340999999998,-0.1,-49.6,192.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
120,316013007,2017-01-03T04:07:27,44.232620000000004,-76.47704,-0.1,-49.6,102.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
122,316013007,2017-01-03T05:41:27,44.23259,-76.47621,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
124,316013007,2017-01-03T05:56:09,44.21656,-76.43536,-0.1,-49.6,98.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
125,316013007,2017-01-03T05:56:09,44.20179000000001,-76.45750999999998,-0.1,-49.6,188.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
126,316013007,2017-01-03T08:04:08,44.21532,-76.42600999999999,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
127,316013007,2017-01-03T08:04:08,44.19244000000001,-76.45875,-0.1,-49.6,206.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
128,316013007,2017-01-03T08:31:09,44.215340000000005,-76.42605999999999,-0.1,-49.6,115.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
129,316013007,2017-01-03T08:31:09,44.19249000000002,-76.45873,-0.1,-49.6,205.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
130,316013007,2017-01-03T09:03:11,44.21535,-76.42605,-0.1,-49.6,115.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
131,316013007,2017-01-03T09:03:11,44.19248000000001,-76.45872,-0.1,-49.6,205.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
132,316013007,2017-01-03T09:26:46,44.21536,-76.42605,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
133,316013007,2017-01-03T09:26:46,44.19248000000001,-76.45871,-0.1,-49.6,206.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
134,316013007,2017-01-03T10:06:18,44.215340000000005,-76.42604,-0.1,-49.6,115.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
135,316013007,2017-01-03T10:06:18,44.19247000000001,-76.45873,-0.1,-49.6,205.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
136,316013007,2017-01-03T10:18:16,44.21535,-76.42604,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
137,316013007,2017-01-03T10:18:16,44.19247000000001,-76.45872,-0.1,-49.6,206.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
138,316013007,2017-01-03T10:23:46,44.21535,-76.42605999999999,-0.1,-49.6,116.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
139,316013007,2017-01-03T10:23:46,44.19249000000002,-76.45872,-0.1,-49.6,206.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
